Files already downloaded
5 Epoch [109/200], Discriminator 0.3109, Best Generator[5] 0.0129
[2200.8003000617027, 2394.9422164559364, 1919.9314190484583, 2157.1358628869057, 2187.7256717011333, 2604.250485122204, 2434.085551917553, 2229.523482054472]
2 Epoch [110/200], Discriminator 0.3223, Best Generator[2] 0.2161
[2085.9899431467056, 2095.2318410873413, 2434.6646107435226, 2015.6329638957977, 2012.3407635390759, 2088.9084132909775, 2029.8246088027954, 2023.490774691105]
4 Epoch [111/200], Discriminator 0.3759, Best Generator[4] 0.4944
[1695.3005266785622, 1818.0951800644398, 1867.8447650969028, 2013.7691165804863, 2337.803443312645, 1694.3297963738441, 1909.9478255808353, 2075.832851409912]
5 Epoch [112/200], Discriminator 0.4356, Best Generator[5] 0.2323
[1718.5278581641614, 1832.211614742875, 1826.4294274523854, 1964.0469041466713, 1799.9568267129362, 2473.3571779727936, 2117.7769390940666, 1743.595791902393]
0 Epoch [113/200], Discriminator 0.3320, Best Generator[0] 0.0700
[2523.324033975601, 1998.6946309320629, 1796.763920687139, 1884.5626820102334, 1736.1955975675955, 1862.5215547066182, 1737.0613472046098, 1890.6422680616379]
4 Epoch [114/200], Discriminator 0.3795, Best Generator[4] 0.0276
[1865.8253912106156, 1968.138577491045, 1975.7017154842615, 2063.1182192862034, 2489.607270002365, 1981.529391810298, 2032.9040491878986, 1925.5728827118874]
0 Epoch [115/200], Discriminator 0.2721, Best Generator[0] 0.2100
[2401.297680616379, 1691.359554933384, 1836.8642000537366, 1834.8222954422235, 1861.672204311937, 1844.998738437891, 1732.79542228207, 2013.5649330317974]
1 Epoch [116/200], Discriminator 0.3836, Best Generator[1] 0.0449
[1932.1712307296693, 2515.93783891201, 1929.0886116959155, 1805.3345542699099, 1714.6132615897804, 1825.7742605078965, 1991.922444805503, 2026.4546755626798]
4 Epoch [117/200], Discriminator 0.2627, Best Generator[4] 0.0307
[1877.1545882746577, 1807.368519499898, 2253.632668375969, 1928.0464638918638, 2416.1172666549683, 1978.6007889211178, 1835.7295530885458, 1990.2183307409286]
1 Epoch [118/200], Discriminator 0.4482, Best Generator[1] 0.7293
[1715.9749530637637, 2386.79297208786, 2108.1771079599857, 1814.076639086008, 1763.7584460377693, 1621.5416467445903, 1854.1601207703352, 1976.1289570480585]
5 Epoch [119/200], Discriminator 0.3408, Best Generator[5] 0.0167
[2005.474821537733, 2074.611085295677, 2000.7548414170742, 2041.98879468441, 2050.573666870594, 2589.1856459975243, 2045.1477272957563, 1913.2238352149725]
7 Epoch [120/200], Discriminator 0.2572, Best Generator[7] 0.3192
[1830.3538949294016, 2044.5519265830517, 1865.510337330401, 1665.420798003208, 1831.8942121462896, 1798.027125230059, 1744.9847220769152, 2563.284233570099]
3 Epoch [121/200], Discriminator 0.2862, Best Generator[3] 0.0065
[2115.447572618723, 1934.2295913510025, 1963.6405922546983, 2567.3370737433434, 1982.5608363822103, 2203.6091994047165, 2163.653582930565, 1981.6215234398842]
1 Epoch [122/200], Discriminator 0.2795, Best Generator[1] 0.0536
